# ACTS Test Suite Generation: Sat Sep 26 20:39:43 EEST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 173
# Number of configurations: 21815
mbap_transaction,mbap_protocol,mbap_len,mbap_slave
7,2049,2048,27
7,2050,2049,28
7,2051,2050,29
7,2052,2051,30
7,4091,2052,31
7,4092,4092,11
7,4093,4093,12
7,4094,4094,13
7,4095,4095,14
7,4096,4096,15
7,4097,4097,16
7,4098,4098,17
7,4099,4099,18
7,4100,8190,19
7,4101,8191,20
7,8187,8192,21
7,8188,8193,27
7,8189,8194,28
7,8190,8195,29
7,8191,32764,30
7,8192,32765,31
7,8193,32766,32
7,8194,32767,33
7,8195,32768,34
7,8196,32769,35
7,8197,32770,36
7,16379,32771,37
7,16380,32772,59
7,16381,32773,60
7,16382,65530,61
7,16383,65531,62
7,16384,65532,63
7,16385,65533,64
7,16386,65534,65
7,16387,65535,66
7,16388,0,67
7,16389,1,68
7,32763,2,69
7,32764,3,123
7,32765,4,124
7,32766,5,125
7,32767,6,126
7,32768,7,127
7,32769,8,128
7,32770,9,129
7,32771,10,130
7,32772,11,131
7,32773,12,132
7,65280,13,133
7,65530,14,251
7,65531,15,252
7,65532,16,253
7,65533,32,254
7,65534,64,255
7,65535,124,0
8,0,125,2
8,1,126,3
8,2,127,4
8,3,128,5
8,4,129,6
8,5,251,7
8,6,252,8
8,7,253,9
8,8,254,10
8,9,255,11
8,10,256,12
8,31,257,13
8,32,258,14
8,33,259,1
8,34,260,16
8,61,261,17
8,62,262,18
8,63,263,19
8,64,264,20
8,65,265,21
8,66,1021,27
8,67,1022,28
8,68,1023,29
8,69,1024,30
8,125,1025,31
8,126,1026,32
8,127,1027,33
8,128,1458,34
8,129,1459,35
8,130,1460,36
8,131,1461,37
8,251,1462,59
8,252,2045,60
8,253,2046,61
8,254,2047,62
8,255,2048,63
8,256,2049,64
8,257,2050,65
8,258,2051,66
8,259,2052,67
8,260,4092,68
8,261,4093,69
8,507,4094,123
8,508,4095,124
8,509,4096,125
8,510,4097,126
8,511,4098,127
8,512,4099,128
8,513,8190,129
8,514,8191,130
8,515,8192,131
8,516,8193,132
8,517,8194,133
8,1019,8195,251
8,1021,32764,252
8,1022,32765,253
8,1023,32766,254
8,1024,32767,255
8,1025,32768,0
8,1026,32769,3
8,1027,32770,4
8,1028,32771,15
8,1029,32772,1
8,2041,32773,2
8,2042,65530,6
8,2043,65531,7
8,2044,65532,8
8,2045,65533,9
8,2046,65534,10
8,2047,65535,11
8,2048,0,12
8,2049,1,5
8,2050,2,6
8,2051,3,7
8,2052,4,8
8,4091,5,9
8,4092,6,10
8,4093,7,11
8,4094,8,12
8,4095,9,13
8,4096,10,14
8,4097,11,15
8,4098,12,16
8,4099,13,17
8,4100,14,18
8,4101,15,19
8,8187,16,20
8,8188,32,21
8,8189,64,27
8,8190,124,28
8,8191,125,29
8,8192,126,30
8,8193,127,31
8,8194,128,32
8,8195,129,33
8,8196,251,34
8,8197,252,35
8,16379,253,36
8,16380,254,37
8,16381,255,59
8,16382,256,60
8,16383,257,61
8,16384,258,62
8,16385,259,63
8,16386,260,64
8,16387,261,65
8,16388,262,66
8,16389,263,67
8,32763,264,68
8,32764,265,69
8,32765,1021,123
8,32766,1022,124
8,32767,1023,125
8,32768,1024,126
8,32769,1025,127
8,32770,1026,128
8,32771,1027,129
8,32772,1458,130
8,32773,1459,131
8,65280,1460,132
8,65530,1461,133
8,65531,1462,251
8,65532,2045,252
8,65533,2046,253
8,65534,2047,254
8,65535,2048,255
9,0,2049,0
9,1,2050,1
9,2,2051,2
9,3,2052,3
9,4,4092,4
9,5,4093,5
9,6,4094,6
9,7,4095,7
9,8,4096,8
9,9,4097,9
9,10,4098,10
9,31,4099,11
9,32,8190,12
9,33,8191,13
9,34,8192,14
9,61,8193,15
9,62,8194,16
9,63,8195,17
9,64,32764,18
9,65,32765,19
9,66,32766,20
9,67,32767,21
9,68,32768,27
9,69,32769,28
9,125,32770,29
9,126,32771,30
9,127,32772,31
9,128,32773,32
9,129,65530,33
9,130,65531,34
9,131,65532,35
9,251,65533,36
9,252,65534,37
9,253,65535,59
9,254,0,60
9,255,1,61
9,256,2,62
9,257,3,63
9,258,4,64
9,259,5,65
9,260,6,66
9,261,7,67
9,507,8,68
9,508,9,69
9,509,10,123
9,510,11,124
9,511,12,125
9,512,13,126
9,513,14,127
9,514,15,128
9,515,16,129
9,516,32,130
9,517,64,131
9,1019,124,132
9,1021,125,133
9,1022,126,251
9,1023,127,252
9,1024,128,253
9,1025,129,254
9,1026,251,255
9,1027,252,0
9,1028,253,1
9,1029,254,2
9,2041,255,3
9,2042,256,4
9,2043,257,5
9,2044,258,6
9,2045,259,7
9,2046,260,8
9,2047,261,9
9,2048,262,10
9,2049,263,11
9,2050,264,12
9,2051,265,13
9,2052,1021,14
9,4091,1022,15
9,4092,1023,16
9,4093,1024,17
9,4094,1025,18
9,4095,1026,19
9,4096,1027,20
9,4097,1458,21
9,4098,1459,27
9,4099,1460,28
9,4100,1461,29
9,4101,1462,30
9,8187,2045,31
9,8188,2046,32
9,8189,2047,33
9,8190,2048,34
9,8191,2049,35
9,8192,2050,36
9,8193,2051,37
9,8194,2052,59
9,8195,4092,60
9,8196,4093,61
9,8197,4094,62
9,16379,4095,63
9,16380,4096,64
9,16381,4097,65
9,16382,4098,66
9,16383,4099,67
9,16384,8190,68
9,16385,8191,69
9,16386,8192,123
9,16387,8193,124
9,16388,8194,125
9,16389,8195,126
9,32763,32764,127
9,32764,32765,128
9,32765,32766,129
9,32766,32767,130
9,32767,32768,131
9,32768,32769,132
9,32769,32770,133
9,32770,32771,251
9,32771,32772,252
9,32772,32773,253
9,32773,65530,254
9,65280,65531,255
9,65530,65532,0
9,65531,65533,1
9,65532,65534,2
9,65533,65535,3
9,65534,0,4
9,65535,1,7
10,0,3,5
10,1,4,6
10,2,5,8
10,3,6,9
10,4,7,10
10,5,8,11
10,6,9,12
10,7,10,13
10,8,11,14
10,9,12,15
10,10,13,16
10,31,14,17
10,32,15,18
10,33,16,19
10,34,32,20
10,61,64,21
10,62,124,27
10,63,125,28
10,64,126,29
10,65,127,30
10,66,128,31
10,67,129,32
10,68,251,33
10,69,252,34
10,125,253,35
10,126,254,36
10,127,255,37
10,128,256,59
10,129,257,60
10,130,258,61
10,131,259,62
10,251,260,63
10,252,261,64
10,253,262,65
10,254,263,66
10,255,264,67
10,256,265,68
10,257,1021,69
10,258,1022,123
10,259,1023,124
10,260,1024,125
10,261,1025,126
10,507,1026,127
10,508,1027,128
10,509,1458,129
10,510,1459,130
10,511,1460,131
10,512,1461,132
10,513,1462,133
10,514,2045,251
10,515,2046,252
10,516,2047,253
10,517,2048,254
10,1019,2049,255
10,1021,2050,0
10,1022,2051,1
10,1023,2052,2
10,1024,4092,3
10,1025,4093,4
10,1026,4094,7
10,1027,4095,5
10,1028,4096,6
10,1029,4097,8
10,2041,4098,9
10,2042,4099,10
10,2043,8190,11
10,2044,8191,12
10,2045,8192,13
10,2046,8193,14
10,2047,8194,15
10,2048,8195,16
10,2049,32764,17
10,2050,32765,18
10,2051,32766,19
10,2052,32767,20
10,4091,32768,21
10,4092,32769,27
10,4093,32770,28
10,4094,32771,29
10,4095,32772,30
10,4096,32773,31
10,4097,65530,32
10,4098,65531,33
10,4099,65532,34
10,4100,65533,35
10,4101,65534,36
10,8187,65535,37
10,8188,0,59
10,8189,1,60
10,8190,2,61
10,8191,3,62
10,8192,4,63
10,8193,5,64
10,8194,6,65
10,8195,7,66
10,8196,8,67
10,8197,9,68
10,16379,10,69
10,16380,11,123
10,16381,12,124
10,16382,13,125
10,16383,14,126
10,16384,15,127
10,16385,16,128
10,16386,32,129
10,16387,64,130
10,16388,124,131
10,16389,125,132
10,32763,126,133
10,32764,127,251
10,32765,128,252
10,32766,129,253
10,32767,251,254
10,32768,252,255
10,32769,253,0
10,32770,254,1
10,32771,255,2
10,32772,256,3
10,32773,257,4
10,65280,258,5
10,65530,259,6
10,65531,260,7
10,65532,261,8
10,65533,262,9
10,65534,263,10
10,65535,264,11
20,0,265,12
20,1,1021,13
20,2,1022,14
20,3,1023,15
20,4,1024,16
20,5,1025,17
20,6,1026,18
20,7,1027,19
20,8,1458,20
20,9,1459,21
20,10,1460,27
20,31,1461,28
20,32,1462,29
20,33,2045,30
20,34,2046,31
20,61,2047,32
20,62,2048,33
20,63,2049,34
20,64,2050,35
20,65,2051,36
20,66,2052,37
20,67,4092,59
20,68,4093,60
20,69,4094,61
20,125,4095,62
20,126,4096,63
20,127,4097,64
20,128,4098,65
20,129,4099,66
20,130,8190,67
20,131,8191,68
20,251,8192,69
20,252,8193,123
20,253,8194,124
20,254,8195,125
20,255,32764,126
20,256,32765,127
20,257,32766,128
20,258,32767,129
20,259,32768,130
20,260,32769,131
20,261,32770,132
20,507,32771,133
20,508,32772,251
20,509,32773,252
20,510,65530,253
20,511,65531,254
20,512,65532,255
20,513,65533,0
20,514,65534,1
20,515,65535,2
20,516,0,3
20,517,1,4
20,1019,2,5
20,1021,3,6
20,1022,4,7
20,1023,5,10
20,1024,6,11
20,1025,7,9
20,1026,8,13
20,1027,9,14
20,1028,10,8
20,1029,11,16
