# ACTS Test Suite Generation: Wed Mar 18 20:43:59 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 5
# Maximum number of values per parameter: 75
# Number of configurations: 5667
Byte_count,Reference_Type,File_number,Record_number,Record_length
6,254,16,4095,4095
7,255,16,4096,4096
8,0,16,4097,4097
9,1,16,8191,8191
10,2,16,8192,8192
11,3,16,8193,8193
12,4,16,9993,16383
13,5,16,9994,16384
14,11,16,9995,16385
15,12,16,9996,32767
16,13,16,9997,32768
17,19,16,9998,32769
18,29,16,9999,65471
19,30,16,10000,65472
20,31,16,10001,65473
21,252,16,10002,65503
27,6,16,10003,65504
28,7,16,10004,65505
29,8,16,16383,65519
30,9,16,16384,65520
31,10,16,16385,65521
32,17,16,32767,65527
33,18,16,32768,65528
34,20,16,32769,65529
35,21,16,65471,65530
36,27,16,65472,65531
37,28,16,65473,65532
59,34,16,65503,65533
60,35,16,65504,65534
61,36,16,65505,65535
62,37,16,65519,0
63,59,16,65520,1
64,60,16,65521,2
65,62,16,65527,3
66,63,16,65528,4
67,66,16,65529,5
68,67,16,65530,7
69,68,16,65531,8
123,69,16,65532,9
124,123,16,65533,15
125,124,16,65534,16
126,125,16,65535,17
127,126,17,0,31
128,127,17,1,32
129,128,17,2,33
130,129,17,3,63
131,130,17,4,64
132,131,17,5,65
133,132,17,7,116
251,15,17,8,117
252,16,17,9,118
253,32,17,15,119
254,33,17,16,120
255,61,17,17,121
0,64,17,31,122
1,65,17,32,123
2,66,17,33,124
3,14,17,63,125
4,18,17,64,126
5,19,17,65,127
6,20,17,127,128
7,21,17,128,129
8,27,17,129,255
9,28,17,255,256
10,29,17,256,257
11,30,17,257,511
12,31,17,511,512
13,34,17,512,513
14,35,17,513,1023
15,36,17,1023,1024
16,37,17,1024,1025
17,63,17,1025,2047
18,67,17,2047,2048
19,68,17,2048,2049
20,69,17,2049,4095
21,123,17,4095,4096
27,124,17,4096,4097
28,125,17,4097,8191
29,133,17,8191,8192
30,251,17,8192,8193
31,252,17,8193,16383
32,253,17,9993,16384
33,254,17,9994,16385
34,255,17,9995,32767
35,0,17,9996,32768
36,1,17,9997,32769
37,2,17,9998,65471
59,4,17,9999,65472
60,5,17,10000,65473
61,6,17,10001,65503
62,7,17,10002,65504
63,8,17,10003,65505
64,9,17,10004,65519
65,10,17,16383,65520
66,11,17,16384,65521
67,12,17,16385,65527
68,13,17,32767,65528
69,17,17,32768,65529
123,59,17,32769,65530
124,60,17,65471,65531
125,62,17,65472,65532
126,3,17,65473,65533
127,14,17,65503,65534
128,15,17,65504,65535
129,16,17,65505,0
130,32,17,65519,1
131,33,17,65520,2
132,61,17,65521,3
133,64,17,65527,4
251,65,17,65528,5
252,127,17,65529,7
253,129,17,65530,8
254,130,17,65531,9
255,131,17,65532,15
0,132,17,65533,16
1,128,17,65534,17
2,129,17,65535,31
4,130,31,0,32
5,126,31,1,33
6,127,31,2,63
7,128,31,3,64
8,253,31,4,65
9,255,31,5,116
10,0,31,7,117
11,1,31,8,118
12,5,31,9,119
13,6,31,15,120
14,7,31,16,121
15,8,31,17,122
16,9,31,31,123
17,10,31,32,124
18,11,31,33,125
19,12,31,63,126
20,13,31,64,127
21,14,31,65,128
27,15,31,127,129
28,16,31,128,255
29,17,31,129,256
30,18,31,255,257
31,19,31,256,511
32,20,31,257,512
33,21,31,511,513
34,27,31,512,1023
35,28,31,513,1024
36,29,31,1023,1025
37,36,31,1024,2047
59,37,31,1025,2048
60,59,31,2047,2049
61,60,31,2048,4095
62,61,31,2049,4096
63,62,31,4095,4097
64,63,31,4096,8191
65,64,31,4097,8192
66,65,31,8191,8193
67,131,31,8192,16383
68,132,31,8193,16384
69,133,31,9993,16385
123,251,31,9994,32767
124,2,31,9995,32768
125,3,31,9996,32769
126,31,31,9997,65471
127,32,31,9998,65472
128,33,31,9999,65473
129,34,31,10000,65503
130,35,31,10001,65504
131,66,31,10002,65505
132,67,31,10003,65519
133,68,31,10004,65520
251,69,31,16383,65521
252,123,31,16384,65527
253,124,31,16385,65528
254,125,31,32767,65529
255,4,31,32768,65530
0,30,31,32769,65531
1,129,31,65471,65532
2,252,31,65472,65533
3,254,31,65473,65534
4,126,31,65503,65535
5,127,31,65504,0
6,130,31,65505,1
7,131,31,65519,2
8,251,31,65520,3
9,252,31,65521,4
10,3,31,65527,5
11,4,31,65528,7
12,8,31,65529,8
13,9,31,65530,9
14,13,31,65531,15
15,14,31,65532,16
16,15,31,65533,17
17,16,31,65534,31
18,17,31,65535,32
19,18,32,0,33
20,19,32,1,63
21,20,32,2,64
27,21,32,3,65
28,27,32,4,116
29,28,32,5,117
30,29,32,7,118
31,30,32,8,119
32,31,32,9,120
33,59,32,15,121
34,60,32,16,122
35,64,32,17,123
36,65,32,31,124
37,66,32,32,125
59,67,32,33,126
60,68,32,63,127
61,69,32,64,128
62,123,32,65,129
63,124,32,127,255
64,125,32,128,256
65,126,32,129,257
66,128,32,255,511
67,132,32,256,512
68,133,32,257,513
69,254,32,511,1023
123,255,32,512,1024
124,0,32,513,1025
125,1,32,1023,2047
126,2,32,1024,2048
127,5,32,1025,2049
128,6,32,2047,4095
129,7,32,2048,4096
130,10,32,2049,4097
131,11,32,4095,8191
132,12,32,4096,8192
133,32,32,4097,8193
251,33,32,8191,16383
252,34,32,8192,16384
253,35,32,8193,16385
254,36,32,9993,32767
255,37,32,9994,32768
0,62,32,9995,32769
1,63,32,9996,65471
2,127,32,9997,65472
3,253,32,9998,65473
4,61,32,9999,65503
5,129,32,10000,65504
6,131,32,10001,65505
7,4,32,10002,65519
8,14,32,10003,65520
9,15,32,10004,65521
10,16,32,16383,65527
11,17,32,16384,65528
12,252,32,16385,65529
13,130,32,32767,65530
14,8,32,32768,65531
15,9,32,32769,65532
16,10,32,65471,65533
17,251,32,65472,65534
18,253,32,65473,65535
19,13,32,65503,0
20,30,32,65504,1
21,3,32,65505,2
27,7,32,65519,3
28,11,32,65520,4
29,12,32,65521,5
30,35,32,65527,7
31,36,32,65528,8
32,37,32,65529,9
33,60,32,65530,15
34,61,32,65531,16
35,63,32,65532,17
36,64,32,65533,31
37,65,32,65534,32
59,66,32,65535,33
60,67,33,0,63
61,68,33,1,64
62,69,33,2,65
63,123,33,3,116
64,124,33,4,117
65,125,33,5,118
66,126,33,7,119
67,128,33,8,120
68,254,33,9,121
69,255,33,15,122
123,0,33,16,123
124,1,33,17,124
125,2,33,31,125
126,5,33,32,126
127,6,33,33,127
128,18,33,63,128
129,19,33,64,129
130,20,33,65,255
131,21,33,127,256
132,27,33,128,257
133,28,33,129,511
251,29,33,255,512
252,32,33,256,513
253,33,33,257,1023
254,34,33,511,1024
255,62,33,512,1025
0,59,33,513,2047
1,132,33,1023,2048
2,133,33,1024,2049
3,31,33,1025,4095
4,63,33,2047,4096
5,64,33,2048,4097
6,65,33,2049,8191
7,66,33,4095,8192
8,129,33,4096,8193
9,130,33,4097,16383
10,251,33,8191,16384
11,252,33,8192,16385
12,253,33,8193,32767
13,7,33,9993,32768
14,30,33,9994,32769
15,37,33,9995,65471
16,61,33,9996,65472
17,131,33,9997,65473
18,3,33,9998,65503
19,9,33,9999,65504
20,10,33,10000,65505
21,15,33,10001,65519
27,16,33,10002,65520
28,36,33,10003,65521
29,127,33,10004,65527
30,4,33,16383,65528
31,14,33,16384,65529
32,17,33,16385,65530
33,11,33,32767,65531
34,12,33,32768,65532
35,13,33,32769,65533
36,8,33,65471,65534
37,20,33,65472,65535
59,21,33,65473,0
60,27,33,65503,1
61,28,33,65504,2
62,29,33,65505,3
63,31,33,65519,4
64,35,33,65520,5
65,59,33,65521,7
66,60,33,65527,8
67,133,33,65528,9
68,255,33,65529,15
69,0,33,65530,16
123,1,33,65531,17
124,5,33,65532,31
125,6,33,65533,32
126,19,33,65534,33
127,33,33,65535,63
128,34,63,0,64
129,62,63,1,65
130,67,63,2,116
131,68,63,3,117
132,69,63,4,118
133,123,63,5,119
251,124,63,7,120
252,125,63,8,121
253,126,63,9,122
254,132,63,15,123
255,2,63,16,124
0,18,63,17,125
1,32,63,31,126
2,254,63,32,127
3,255,63,33,128
4,0,63,63,129
5,1,63,64,255
6,128,63,65,256
7,129,63,127,257
8,130,63,128,511
9,131,63,129,512
10,252,63,255,513
11,253,63,256,1023
12,3,63,257,1024
13,12,63,511,1025
14,20,63,512,2047
15,21,63,513,2048
16,27,63,1023,2049
17,28,63,1024,4095
18,33,63,1025,4096
19,37,63,2047,4097
20,59,63,2048,8191
21,63,63,2049,8192
27,64,63,4095,8193
28,65,63,4096,16383
29,66,63,4097,16384
30,127,63,8191,16385
31,5,63,8192,32767
32,6,63,8193,32768
33,9,63,9993,32769
34,10,63,9994,65471
35,15,63,9995,65472
36,16,63,9996,65473
37,17,63,9997,65503
59,30,63,9998,65504
60,31,63,9999,65505
61,133,63,10000,65519
62,251,63,10001,65520
63,13,63,10002,65521
64,19,63,10003,65527
65,29,63,10004,65528
66,35,63,16383,65529
67,36,63,16384,65530
68,4,63,16385,65531
69,7,63,32767,65532
123,14,63,32768,65533
124,61,63,32769,65534
125,11,63,65471,65535
126,32,63,65472,0
127,60,63,65473,1
128,8,63,65503,2
129,68,63,65504,3
130,69,63,65505,4
131,123,63,65519,5
