# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
9,125,257,8191,8191,21
10,126,511,8192,8192,21
11,127,512,8193,8193,21
12,128,513,9993,16383,21
13,129,1023,9994,16384,21
14,1,1024,9995,16385,21
15,6,1025,9996,32767,21
16,7,2047,9997,32768,21
17,9,2048,9998,32769,21
18,10,2049,9999,65471,21
19,11,4095,10000,65472,21
20,12,4096,10001,65473,21
21,13,4097,10002,65503,21
27,14,8191,10003,65504,21
28,63,8192,10004,65505,21
29,64,8193,16383,65519,21
30,65,10000,16384,65520,21
31,3,16383,16385,65521,21
32,4,16384,32767,65527,21
33,16,16385,32768,65528,21
34,17,32767,32769,65529,21
35,2,32768,65471,65530,21
36,5,32769,65472,65531,21
37,8,65471,65473,65532,21
59,15,65472,65503,65533,21
60,18,65473,65504,65534,21
61,19,65503,65505,65535,21
62,20,65504,65519,0,21
63,21,65505,65520,1,21
64,27,65519,65521,2,21
65,28,65520,65527,3,21
66,29,65521,65528,4,21
67,30,65527,65529,5,21
68,31,65528,65530,7,21
69,32,65529,65531,8,21
123,33,65530,65532,9,21
124,34,65531,65533,15,21
125,35,65532,65534,16,21
126,36,65533,65535,17,21
127,37,65534,0,31,27
128,59,65535,1,32,27
129,60,0,2,33,27
130,61,1,3,63,27
131,62,2,4,64,27
132,131,3,5,65,27
133,132,4,7,116,27
251,133,5,8,117,27
252,251,7,9,118,27
253,252,8,15,119,27
254,253,9,16,120,27
255,254,10,17,121,27
0,255,11,31,122,27
1,0,12,32,123,27
2,130,13,33,124,27
3,2,14,63,125,27
4,8,15,64,126,27
5,13,16,65,127,27
6,17,17,127,128,27
7,21,31,128,129,27
8,27,32,129,255,27
9,28,33,255,256,27
10,29,63,256,257,27
11,30,64,257,511,27
12,31,65,511,512,27
13,32,127,512,513,27
14,33,128,513,1023,27
15,34,129,1023,1024,27
16,35,255,1024,1025,27
17,36,256,1025,2047,27
18,65,257,2047,2048,27
